id;Solution type (ms);Transformation time (ms);Solver time (ms);_Solution0FoundAt;TransformationExecutionTime;TypeAnalysisTime;StateCoderTime;StateCoderFailCount;SolutionCopyTime;SolutionDiversityCheckTime;SolutionDiversitySuccessRate;save
scenario.constraints88;ModelResultImpl;1877;725;383;235;40;94;0;0;0;1.0;saved
scenario.constraints89;ModelResultImpl;1118;591;295;183;5;74;0;0;0;1.0;saved
scenario.constraints90;ModelResultImpl;1276;613;292;176;5;75;0;0;0;1.0;saved
scenario.constraints91;ModelResultImpl;1107;568;272;161;4;73;0;0;0;1.0;saved
scenario.constraints92;ModelResultImpl;1080;579;279;166;4;74;0;0;0;1.0;saved
scenario.constraints93;ModelResultImpl;1109;644;299;180;4;78;0;0;0;1.0;saved
scenario.constraints94;ModelResultImpl;1096;600;299;173;4;84;0;0;0;1.0;saved
scenario.constraints95;ModelResultImpl;1094;562;257;153;4;68;0;0;0;1.0;saved
scenario.constraints96;ModelResultImpl;1260;560;266;158;4;73;0;0;0;1.0;saved
scenario.constraints97;ModelResultImpl;1243;572;273;167;4;68;0;0;0;1.0;saved
scenario.constraints98;ModelResultImpl;1189;607;289;169;3;79;0;0;0;1.0;saved
scenario.constraints99;ModelResultImpl;1205;652;304;181;4;81;0;0;0;1.0;saved
scenario.constraints100;ModelResultImpl;1209;603;279;172;4;69;0;0;0;1.0;saved

