id;Solution type (ms);Transformation time (ms);Solver time (ms);_Solution0FoundAt;TransformationExecutionTime;TypeAnalysisTime;StateCoderTime;StateCoderFailCount;SolutionCopyTime;SolutionDiversityCheckTime;SolutionDiversitySuccessRate;save
noConstraints75;ModelResultImpl;876;549;285;158;4;86;0;0;0;1.0;saved
noConstraints76;ModelResultImpl;903;592;299;172;4;85;0;0;0;1.0;saved
noConstraints77;ModelResultImpl;1028;681;305;179;5;83;0;0;0;1.0;saved
noConstraints78;ModelResultImpl;974;565;265;155;4;72;0;0;0;1.0;saved
noConstraints79;ModelResultImpl;887;621;287;166;4;82;0;0;0;1.0;saved
noConstraints80;ModelResultImpl;903;679;291;169;4;82;0;0;0;1.0;saved
noConstraints81;ModelResultImpl;997;647;343;202;4;93;0;0;1;1.0;saved
noConstraints82;ModelResultImpl;872;560;283;156;4;87;0;0;0;1.0;saved
noConstraints83;ModelResultImpl;884;539;260;145;4;78;0;0;0;1.0;saved
noConstraints84;ModelResultImpl;970;623;337;198;3;92;0;0;0;1.0;saved
noConstraints85;ModelResultImpl;904;622;333;198;4;90;0;0;0;1.0;saved
noConstraints86;ModelResultImpl;943;553;279;163;5;77;0;0;0;1.0;saved
noConstraints87;ModelResultImpl;942;523;244;145;4;65;0;0;0;1.0;saved
noConstraints88;ModelResultImpl;914;555;270;150;4;80;0;0;0;1.0;saved
noConstraints89;ModelResultImpl;874;556;269;152;4;78;0;0;0;1.0;saved
noConstraints90;ModelResultImpl;967;592;288;165;4;83;0;0;0;1.0;saved
noConstraints91;ModelResultImpl;872;580;269;155;4;75;0;0;0;1.0;saved
noConstraints92;ModelResultImpl;876;533;253;144;4;75;0;0;0;1.0;saved
noConstraints93;ModelResultImpl;884;524;263;155;4;71;0;0;0;1.0;saved
noConstraints94;ModelResultImpl;893;539;250;145;4;71;0;0;0;1.0;saved
noConstraints95;ModelResultImpl;930;588;287;160;3;84;0;0;0;1.0;saved
noConstraints96;ModelResultImpl;871;581;276;158;5;77;0;0;0;1.0;saved
noConstraints97;ModelResultImpl;874;515;239;139;4;65;0;0;0;1.0;saved
noConstraints98;ModelResultImpl;877;521;250;148;4;67;0;0;0;1.0;saved
noConstraints99;ModelResultImpl;906;519;253;149;4;69;0;0;0;1.0;saved
noConstraints100;ModelResultImpl;1002;581;254;151;4;67;0;0;0;1.0;saved

